,RATING,VERIFIED_PURCHASE,NUM_NOUNS,NUM_VERBS,NUM_ADJECTIVES,NUM_ADVERBS,REVIEW_LENGTH,SENTIMENT_SCORE,TITLE_LENGTH,AVERAGE_RATING,RATING_DEVIATION,NUM_REVIEWS,READABILITY_FRE,SENTIMENT_CATEGORY_ENCODED,RATING_CATEGORY_ENCODED,COHERENT_ENCODED,AVG_WORD_LENGTH,LABEL_ENCODED
0,4,0,4,5,1,5,116,0.539,6,4.0,0.0,1,105.66,1,1,1,4.375,0
1,4,1,15,15,12,5,404,0.296,21,4.0,0.0,2,33.92,1,1,1,5.378378378378378,0
2,3,0,7,13,4,10,248,0.4059,24,3.0,0.0,1,80.96,1,1,1,4.291666666666667,0
3,4,0,8,10,4,5,212,0.0,16,4.5,-0.5,2,71.14,0,1,0,4.352941176470588,0
4,4,0,14,12,7,4,331,0.6249,21,4.5,-0.5,2,76.56,1,1,1,4.95,0
5,3,0,5,11,2,2,188,0.7717,8,3.0,0.0,1,66.74,1,1,1,5.153846153846154,0
6,4,0,16,8,3,4,261,0.8126,43,4.0,0.0,1,75.88,1,1,1,4.241379310344827,0
7,4,1,9,4,6,4,169,0.8885,21,4.0,0.0,1,79.6,1,1,1,4.470588235294118,0
8,4,0,7,6,7,0,144,0.8481,20,4.0,0.0,1,88.06,1,1,1,5.0,0
9,1,0,10,12,8,4,279,0.7906,40,1.0,0.0,1,54.56,1,0,0,4.76,0
10,1,0,1,5,1,3,104,0.4023,38,1.0,0.0,1,96.18,1,0,0,4.333333333333333,0
11,4,0,4,5,4,1,117,0.8807,31,4.0,0.0,1,85.69,1,1,1,4.636363636363637,0
12,4,0,12,12,9,9,338,0.9042,11,4.0,0.0,1,48.47,1,1,1,5.129032258064516,0
13,4,0,24,8,11,4,457,-0.8591,7,4.0,0.0,1,10.91,0,1,0,5.883720930232558,0
14,4,0,11,10,6,8,330,0.4767,17,4.0,0.0,2,72.5,1,1,1,5.041666666666667,0
15,4,0,6,6,7,5,191,0.9432,15,4.0,0.0,1,88.06,1,1,1,4.882352941176471,0
16,4,1,14,15,8,10,394,0.9081,33,3.0,1.0,2,56.93,1,1,1,4.612903225806452,0
17,4,0,5,6,4,2,132,0.5267,11,4.0,0.0,1,85.69,1,1,1,4.545454545454546,0
18,4,1,18,26,6,13,549,0.91,55,4.0,0.0,1,47.8,1,1,1,4.875,0
19,4,1,5,4,3,1,147,0.4019,30,4.0,0.0,1,49.82,1,1,1,5.0,0
20,4,0,5,8,4,2,153,0.7506,19,4.0,0.0,1,80.62,1,1,1,4.625,0
21,4,1,14,20,9,4,376,-0.6249,44,4.0,0.0,2,63.7,0,1,0,4.439024390243903,0
22,3,0,3,6,3,3,101,0.8519,16,4.0,-1.0,3,95.17,1,1,1,4.2,0
23,2,1,8,6,2,2,161,-0.3612,26,2.0,0.0,1,55.24,0,0,1,5.25,0
24,3,0,9,12,3,3,207,0.4939,11,3.0,0.0,1,57.61,1,1,1,5.0,0
25,4,0,58,39,33,22,1414,0.9836,84,4.0,0.0,1,-49.99,1,1,1,5.3203125,0
26,4,0,9,11,4,4,230,0.4885,18,4.0,0.0,1,77.57,1,1,1,4.684210526315789,0
27,4,1,5,13,3,1,223,0.0,22,4.5,-0.5,2,65.73,0,1,0,5.142857142857143,0
28,4,0,7,16,4,8,303,0.0,20,4.0,0.0,1,57.61,0,1,0,4.681818181818182,0
29,4,1,6,3,6,2,109,0.9623,61,4.0,0.0,1,84.68,1,1,1,4.916666666666667,0
30,3,1,4,7,3,2,124,0.5859,51,3.0,0.0,1,83.66,1,1,1,4.230769230769231,0
31,4,0,15,9,8,5,334,0.765,10,4.0,0.0,2,42.04,1,1,1,5.344827586206897,0
32,1,0,6,7,5,5,164,-0.2755,13,1.0,0.0,2,77.57,0,0,1,4.105263157894737,0
33,4,1,17,18,9,7,408,0.9243,76,4.0,0.0,1,57.27,1,1,1,4.512820512820513,0
34,3,0,10,6,5,1,216,0.2732,19,4.0,-1.0,2,60.65,1,1,1,5.105263157894737,0
35,4,1,3,9,4,2,153,0.8316,51,4.0,0.0,1,91.11,1,1,1,4.357142857142857,0
36,4,1,21,32,23,10,706,0.8002,67,4.0,0.0,1,72.84,1,1,1,4.1875,0
37,4,1,5,4,5,2,124,0.6249,15,4.5,-0.5,2,61.33,1,1,1,5.7,0
38,4,0,47,21,22,3,1013,-0.765,45,4.0,0.0,1,-35.45,0,1,0,5.876288659793815,0
39,1,0,13,15,8,3,302,-0.6124,31,1.0,0.0,1,76.9,0,0,1,4.357142857142857,0
40,4,0,71,65,37,15,1764,0.9861,96,4.0,0.0,1,-92.62,1,1,1,5.064705882352941,0
41,4,1,7,12,2,5,198,-0.4268,34,4.0,0.0,1,78.59,0,1,0,4.111111111111111,0
42,4,1,5,8,6,5,193,0.5719,28,3.25,0.75,4,87.05,1,1,1,4.666666666666667,0
43,4,0,93,58,46,27,2068,0.6808,46,4.0,0.0,1,-129.5,1,1,1,5.232323232323233,0
44,4,1,9,9,8,3,238,0.93,13,4.0,0.0,2,73.51,1,1,1,4.739130434782608,0
45,4,0,9,9,6,5,254,0.7269,11,4.0,0.0,1,63.02,1,1,1,4.48,0
46,4,0,12,16,10,7,338,0.8934,24,2.5,1.5,2,56.93,1,1,1,5.193548387096774,0
47,4,0,3,5,1,3,104,0.0186,9,4.0,0.0,1,104.64,0,1,0,3.888888888888889,0
48,4,0,9,10,9,5,262,0.9246,15,4.0,0.0,1,88.4,1,1,1,5.04,0
49,1,0,8,9,3,5,212,0.4404,26,1.0,0.0,1,54.22,1,0,0,5.529411764705882,0
50,4,0,31,21,10,5,686,-0.1531,9,4.0,0.0,1,-1.28,0,1,0,5.872727272727273,0
51,3,0,8,7,4,3,159,0.9246,8,3.0,0.0,1,92.12,1,1,1,5.076923076923077,0
52,3,0,11,9,9,6,240,0.7003,12,3.0,0.0,1,67.08,1,1,1,4.761904761904762,0
53,4,0,10,7,3,2,222,0.8979,12,4.0,0.0,1,53.21,1,1,1,5.722222222222222,0
54,4,1,5,5,3,5,148,0.7783,14,4.0,0.0,1,85.69,1,1,1,5.545454545454546,0
55,4,0,13,23,10,7,405,0.128,32,4.0,0.0,1,65.73,0,1,0,4.410256410256411,0
56,3,0,6,4,8,2,200,0.6486,18,3.0,0.0,1,55.24,1,1,1,5.3125,0
57,1,0,11,13,6,9,271,-0.296,17,1.0,0.0,1,73.51,0,0,1,4.434782608695652,0
58,1,0,47,35,18,15,1278,0.1027,30,1.0,0.0,1,-43.9,0,0,1,5.057377049180328,0
59,4,1,6,6,3,3,163,0.765,86,4.0,0.0,1,75.2,1,1,1,4.846153846153846,0
60,1,0,5,5,4,1,138,0.0772,30,1.0,0.0,2,66.74,0,0,1,5.230769230769231,0
61,1,0,33,18,14,12,1097,0.92,22,1.0,0.0,1,-42.55,1,0,0,4.325581395348837,0
62,3,0,3,3,2,4,102,0.0516,13,3.0,0.0,1,78.25,0,1,0,4.8,0
63,4,0,7,7,3,4,171,-0.1027,19,4.0,0.0,1,39.33,0,1,0,5.8,0
